taalName,styleName,styleList,addToEnd
Pauri/Paudi,Shuffle,"Pro Default,Variation #1",0
Soolfakhta,Shuffle,"Pro Default,Variation #1,Variation #2,Variation #3",0
Shashanka,Shuffle,"Pro Default,Variation #1,Variation #2",0
Dadra,Shuffle,"Pro Default,Variation #1,Variation #2,Variation #3",0
Dadra,Ghazal Shuffle,"Ghazal,Ghazal 2,Ghazal 3",0
Dadra,Garba Shuffle,"Garba,Garba 2,Khemta",0
Dadra,Laggi Shuffle,"Laggi,Laggi 2,Laggi 3,Laggi 4,Laggi 5",0
Ardha Jai Taal,Shuffle,"Pro Default,Variation #1",0
Moghuli,Shuffle,"Pro Default,Variation #1",0
Pashto,Shuffle,"Pro Default,Variation #1,Variation #2",0
Rupak,Shuffle,"Pro Default,Jhoomra Ang,Ghazal",0
Bhajani,Shuffle,"Pro Default,Variation #1,Variation #3,Variation #4",0
Bhajani,Laggi Shuffle,"Laggi,Laggi2,Laggi 3",0
Keherva,Shuffle,"Pro Default,Variation #1,Variation #2,Variation #3",0
Shiva Taal,Shuffle,"Pro Default,Variation #1",0
Jhaptaal,Shuffle,"Pro Default,Variation #1",0
Jhaptaal,Sawari Shuffle,"Sawari Ang,Sawari Ang 2",1
Chartal-ki-Sawari,Shuffle,"Pro Default,Variation #1",0
Jai Taal,Shuffle,"Pro Default,Variation #1,Variation #2",0
Deepchandi,Shuffle,"Pro Default,Variation #1,Variation #2,Ghazal",0
Farodust/Firdost,Shuffle,"Pro Default,Variation #1",0
Pancham Sawari,Shuffle,"Pro Default,Variation #1,Variation #2",0
Chachar,Shuffle,"Basic,Pro Default,Variation #1",0
Addha/Sitarkhani/Punjabi,Shuffle,"Pro Default,Variation #1,Variation #2",0
Teentaal,Shuffle,"Pro Default,Variation #1,Variation #2,Variation #3,Variation #4,Variation #5,Variation #6",0
Tilwada,Shuffle,"Pro Default,Variation #1,Variation #2",0
