taalName,seqNum,taalDisplayName,matras,taaliMatras,khaaliMatras,pakhawajTaal,manjiraTaal
Pauri/Paudi,1,,4.0,1,3,0,0
Ardha Jhaptaal,2,,5.0,"1,3",,0,1
Jhampak,3,,5.0,"1,4",,0,1
Soolfakhta,4,,5.0,"1,3",,0,1
Yamuna,5,,5.0,"1,4",3,0,1
Shashanka,6,,5.5,"4,5",1,0,0
Dadra,7,,6.0,1,4,0,1
Dakshinatya Rupak,8,,6.0,"1,3",,0,1
Sasthi,9,,6.0,"1,3",,0,0
Ardha Jai Taal,10,,6.5,"1,5",3,0,0
Moghuli,11,,7.0,"4,6",1,0,1
Pashto,12,,7.0,"4,6",1,0,1
Rupak,13,,7.0,"4,6",1,0,1
Saatva,14,,7.0,"1,4",6,0,1
Teevra,15,,7.0,"1,4,6",,1,0
Neel Taal,16,,7.5,"4,6",1,0,0
Bhajani,17,,8.0,1,5,0,1
Jat Taal,18,,8.0,"1,3,7",5,0,1
Keherva,19,,8.0,1,5,0,1
Ardha Shikhar Taal,20,,8.5,"1,3,7",5,0,0
Ashta Jhaptaal,21,,8.5,"1,3,8",6,0,0
Matta Taal,22,,9.0,"1,3,7",5,0,0
Shiva Taal,23,,9.0,"1,3,7",5,0,0
Kalawati,24,,9.5,"1,3,7,9",5,0,0
Sunand Taal,25,,9.5,"1,3,8",6,0,0
Jhaptaal,26,,10.0,"1,3,8",6,0,1
Sadra,27,,10.0,"1,3,8",6,1,0
Soolfaak,28,,10.0,"1,5,7","3,9",0,0
Sooltaal,29,,10.0,"1,5,7","3,9",1,0
Sardha Rupak,30,,10.5,"5.5,8.5",1,0,0
Chartal-ki-Sawari,31,,11.0,"1,3,7,9",5,0,0
Rudra Taal,32,,11.0,"1,3,4,5,7,8,9,10",,0,0
Ektaal,33,,12.0,"1,5,9,11","3,7",0,1
Chautaal,34,,12.0,"1,5,9,11","3,7",1,0
Jai Taal,35,,13.0,"1,3,7,11,12","5,9",0,0
Ada Chautaal,36,,14.0,"1,3,7,11","5,9,13",0,0
Deepchandi,37,,14.0,"1,4,11",8,0,1
Dhamaar,38,,14.0,"1,6,11",8,1,0
Farodust/Firdost,39,,14.0,"1,5,9,11,13","3,7",0,0
Jhoomra,40,,14.0,"1,4,11",8,0,0
Pancham Sawari,42,,15.0,"1,4,12",8,0,0
Chachar,42,,16.0,"1,5,13",9,0,1
Gajamukha,43,,16.0,"1,6,8,13",11,0,0
Addha/Sitarkhani/Punjabi,44,,16.0,"1,5,13",9,0,1
Teentaal,45,,16.0,"1,5,13",9,0,1
Tilwada,46,,16.0,"1,5,13",9,0,0
Shikhar Taal,47,,17.0,"1,13,15",7,1,0
