taalName,styleNum,style,tempos,seqNum,bolLeft,bolRight,matra,numBeats,volLeft,volRight,bolName
Metronome,1,1 beat Basic,"0,1,2,3,4",1,Met-Matra,,1,1.0,1.0,1.0,
Pauri/Paudi,1,Pro Default,"2,3",1,Ge-OP,,1,1.0,1.0,1.0,Ge
Pauri/Paudi,1,Pro Default,"2,3",2,,Ti,2,0.5,1.0,1.0,TiTa
Pauri/Paudi,1,Pro Default,"2,3",3,,TTa,2,0.5,1.0,1.0,
Pauri/Paudi,1,Pro Default,"2,3",4,,Ta,3,1.0,1.0,1.0,Ta
Pauri/Paudi,1,Pro Default,"2,3",5,Ge-OP,,4,0.5,1.0,1.0,GeTa
Pauri/Paudi,1,Pro Default,"2,3",6,,Ta,4,0.5,1.0,1.0,
Pauri/Paudi,2,Variation #1,"2,3",1,Ge-OP,,1,1.0,1.0,1.0,Ge
Pauri/Paudi,2,Variation #1,"2,3",2,,Ti,2,0.5,1.0,1.0,TiTa
Pauri/Paudi,2,Variation #1,"2,3",3,,TTa,2,0.5,1.0,1.0,
Pauri/Paudi,2,Variation #1,"2,3",4,,Ta,3,1.0,1.0,1.0,Ta
Pauri/Paudi,2,Variation #1,"2,3",5,Kat,,4,0.5,1.0,1.0,KatTa
Pauri/Paudi,2,Variation #1,"2,3",6,,Ta,4,0.5,1.0,1.0,
Ardha Jhaptaal,1,Basic,1,1,Ge-B,TinFull,1,1.0,1.0,1.0,Dhin
Ardha Jhaptaal,1,Basic,1,2,,Na,2,0.5,1.0,1.0,Na
Ardha Jhaptaal,1,Basic,1,3,,TiL,2,0.5,1.0,1.0,
Ardha Jhaptaal,1,Basic,1,4,Ge-B,TinFull,3,1.0,1.0,1.0,Dhin
Ardha Jhaptaal,1,Basic,1,5,Ge-B,TinFull,4,1.0,1.0,1.0,Dhin
Ardha Jhaptaal,1,Basic,1,6,,Na,5,0.5,1.0,1.0,Na Na
Ardha Jhaptaal,1,Basic,1,7,,Na,5,0.5,1.0,1.0,
Ardha Jhaptaal,1,Basic,2,1,Ge-B,TinFull,1,1.0,1.0,1.0,Dhin
Ardha Jhaptaal,1,Basic,2,2,,Na,2,0.5,1.0,1.0,Na
Ardha Jhaptaal,1,Basic,2,3,,TiL,2,0.5,1.0,1.0,
Ardha Jhaptaal,1,Basic,2,4,Ge,TinFull,3,1.0,1.0,1.0,Dhin
Ardha Jhaptaal,1,Basic,2,5,Ge-B,Tin,4,1.0,1.0,1.0,Dhin
