variationType,taalName,variationNum,tempos,seqNum,bolLeft,bolRight,matra,numBeats,volLeft,volRight,bolName
0,Pauri/Paudi,0,"2,3",1,,Ta,2,0.5,1.0,1.0,TaTa
0,Pauri/Paudi,0,"2,3",2,,Ta,2,0.5,1.0,1.0,
1,Teentaal,1,"2,3",1,,Ta,1,0.5,1.0,1.0,TaTa
1,Teentaal,1,"2,3",2,,Ta,1,0.5,1.0,1.0,
1,Teentaal,1,"2,3",3,,Ti,2,0.25,1.0,1.0,TiRaKiTa
1,Teentaal,1,"2,3",4,,Ra,2,0.25,1.0,1.0,
1,Teentaal,1,"2,3",5,Ki,,2,0.25,1.0,1.0,
1,Teentaal,1,"2,3",6,,TTa,2,0.25,1.0,1.0,
1,Teentaal,1,"2,3",7,Ge-B,Ta,3,0.5,1.0,1.0,DhaDha
1,Teentaal,1,"2,3",8,Ge,Ta,3,0.5,1.0,1.0,
1,Teentaal,1,"2,3",9,,Ti,4,0.25,1.0,1.0,TiRaKiTa
1,Teentaal,1,"2,3",10,,Ra,4,0.25,1.0,1.0,
1,Teentaal,1,"2,3",11,Ki,,4,0.25,1.0,1.0,
1,Teentaal,1,"2,3",12,,TTa,4,0.25,1.0,1.0,
1,Addha/Sitarkhani/Punjabi,2,"2,3",1,Ge,Ta,1,0.5,1.0,1.0,DhaGe
1,Addha/Sitarkhani/Punjabi,2,"2,3",2,Ge-B,,1,0.5,0.5,1.0,
1,Addha/Sitarkhani/Punjabi,2,"2,3",3,Ge,Ta,2,0.5,1.0,1.0,DhaTira
1,Addha/Sitarkhani/Punjabi,2,"2,3",4,,Ti,2,0.25,1.0,1.0,
1,Addha/Sitarkhani/Punjabi,2,"2,3",5,,Ra,2,0.25,1.0,1.0,
1,Addha/Sitarkhani/Punjabi,2,"2,3",6,Ki,,3,0.25,1.0,1.0,KiTaTaka
1,Addha/Sitarkhani/Punjabi,2,"2,3",7,,TTa,3,0.25,1.0,1.0,
1,Addha/Sitarkhani/Punjabi,2,"2,3",8,,Taka,3,0.5,1.0,1.0,
1,Addha/Sitarkhani/Punjabi,2,"2,3",9,,Ti,4,0.25,1.0,1.0,TiRaKiTa
1,Addha/Sitarkhani/Punjabi,2,"2,3",10,,Ra,4,0.25,1.0,1.0,
1,Addha/Sitarkhani/Punjabi,2,"2,3",11,Ki,,4,0.25,1.0,1.0,
1,Addha/Sitarkhani/Punjabi,2,"2,3",12,,TTa,4,0.25,1.0,1.0,
1,Teentaal,3,"2,3",1,Ge,Ta,1,0.5,1.0,1.0,DhaGe
1,Teentaal,3,"2,3",2,Ge-B,,1,0.5,0.5,1.0,
1,Teentaal,3,"2,3",3,Ge,Ta,2,0.5,1.0,1.0,DhaTira
1,Teentaal,3,"2,3",4,,Ti,2,0.25,1.0,1.0,
1,Teentaal,3,"2,3",5,,Ra,2,0.25,1.0,1.0,
1,Teentaal,3,"2,3",6,Ki,,3,0.25,1.0,1.0,KiTaTaka
1,Teentaal,3,"2,3",7,,TTa,3,0.25,1.0,1.0,
1,Teentaal,3,"2,3",8,,Taka,3,0.5,1.0,1.0,
1,Teentaal,3,"2,3",9,,Ti,4,0.25,1.0,1.0,TiRaKiTa
1,Teentaal,3,"2,3",10,,Ra,4,0.25,1.0,1.0,
1,Teentaal,3,"2,3",11,Ki,,4,0.25,1.0,1.0,
1,Teentaal,3,"2,3",12,,TTa,4,0.25,1.0,1.0,
1,Teentaal,4,"2,3",1,Ge,Ta,1,0.5,1.0,1.0,Dha-Ti-
1,Teentaal,4,"2,3",2,,Ti,1,0.5,1.0,1.0,
1,Teentaal,4,"2,3",3,Ge,Ta,2,0.5,1.0,1.0,Dha-TiRa
1,Teentaal,4,"2,3",4,,Ti,2,0.25,1.0,1.0,
1,Teentaal,4,"2,3",5,,Ra,2,0.25,1.0,1.0,
1,Teentaal,4,"2,3",6,Ki,,3,0.25,1.0,1.0,KiTaTaka
1,Teentaal,4,"2,3",7,,TTa,3,0.25,1.0,1.0,
1,Teentaal,4,"2,3",8,,Taka,3,0.5,1.0,1.0,
1,Teentaal,4,"2,3",9,,Ti,4,0.25,1.0,1.0,TiRaKiTa
1,Teentaal,4,"2,3",10,,Ra,4,0.25,1.0,1.0,
1,Teentaal,4,"2,3",11,Ki,,4,0.25,1.0,1.0,
1,Teentaal,4,"2,3",12,,TTa,4,0.25,1.0,1.0,
1,Teentaal,5,"2,3",1,,Ti,1,0.5,1.0,1.0,TiTa
1,Teentaal,5,"2,3",2,,TTa,1,0.5,1.0,1.0,
1,Teentaal,5,"2,3",3,Ge,Ta,2,0.5,1.0,1.0,Dha-Tira
1,Teentaal,5,"2,3",4,,Ti,2,0.25,1.0,1.0,
1,Teentaal,5,"2,3",5,,Ra,2,0.25,1.0,1.0,
1,Teentaal,5,"2,3",6,Ki,,3,0.25,1.0,1.0,KiTaDha-
1,Teentaal,5,"2,3",7,,TTa,3,0.25,1.0,1.0,
1,Teentaal,5,"2,3",8,Ge,Ta,3,0.5,1.0,1.0,
1,Teentaal,5,"2,3",9,,Ti,4,0.25,1.0,1.0,TiRaKiTa
1,Teentaal,5,"2,3",10,,Ra,4,0.25,1.0,1.0,
1,Teentaal,5,"2,3",11,Ki,,4,0.25,1.0,1.0,
1,Teentaal,5,"2,3",12,,TTa,4,0.25,1.0,1.0,
1,"Addha/Sitarkhani/Punjabi,Teentaal,Rupak",6,"2,3",1,,Ti,1,0.25,1.0,1.0,TiRaKiTa
1,"Addha/Sitarkhani/Punjabi,Teentaal,Rupak",6,"2,3",2,,Ra,1,0.25,1.0,1.0,
1,"Addha/Sitarkhani/Punjabi,Teentaal,Rupak",6,"2,3",3,Ki,,1,0.25,1.0,1.0,
